"Job Offer Title";"Researcher Profile";"Company";"Fields";"Hours/Week";"Country";"City";"Where to Apply";"More Info"
"Data Scientist";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3)";"Centro de Biología Molecular Severo Ochoa";"Biological sciences, Computer science, Programming";"37.5";"Spain";"Madrid";"mailto:m.llorens@csic.es";"https://euraxess.ec.europa.eu/jobs/692406"
"Contest point 2 – Senior Scientist - Returnee";"Leading Researcher (R4)";"Rudjer Boskovic Institute";"Physics";"40";"Croatia";"Zagreb";"mailto:ljiljana@irb.hr";"https://euraxess.ec.europa.eu/jobs/701715"
"A High Performance Data Acquisition Framework for Decentralized Scientific Experiments";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3)";"Karlsruhe Institute of Technology (KIT)";"Computer science, Other";"";"Germany";"Karlsruhe";"https://www.pse.kit.edu/karriere/joboffer.php?id=96374&language=en";"https://euraxess.ec.europa.eu/jobs/681341"
"IPE 07-21 Master Thesis: A High Performance Data Acquisition Framework for Decentralized Scientific...";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Karlsruhe Institute of Technology (KIT)";"Technology";"";"Germany";"Karlsruhe";"https://kit-stellenangebote.dvinci-easy.com/en/jobs/96374/ipe-07-21-master-thesis-a-high-performance-data-acquisition-framework-for-decentralized-scientific-experiments";"https://euraxess.ec.europa.eu/jobs/684486"
"Data Scientist / Computational Biologist";"Recognised Researcher (R2) , Established Researcher (R3)";"University of Salzburg";"Biological sciences, Other";"40";"Austria";"Salzburg";"mailto:bewerbung@plus.ac.at";"https://euraxess.ec.europa.eu/jobs/694461"
"Bioinformatics Software Engineer";"First Stage Researcher (R1)";"European Molecular Biology Laboratory";"Biological sciences ,Computer science ,Engineering ,Information science ,Mathematics ,Physics ,Technology";"";"Germany";"Heidelberg";"https://www.lifescience.net/jobs/93615/bioinformatics-software-engineer/";"https://euraxess.ec.europa.eu/jobs/699381"
"Microbiological standards officer and project coordinator";"First Stage Researcher (R1)";"European Molecular Biology Laboratory";"Biological sciences ,Computer science ,Information science ,Medical sciences";"";"Germany";"Heidelberg";"https://www.lifescience.net/jobs/93452/microbiological-standards-officer-and-project-coor/";"https://euraxess.ec.europa.eu/jobs/698523"
"Bioinformatician multi-omics";"Recognised Researcher (R2)";"Radboud University Medical Center (Radboudumc)";"Medical sciences";"36.0";"Netherlands";"Nijmegen";"https://www.academictransfer.com/305757/bioinformatician-multi-omics/apply/#apply";"https://euraxess.ec.europa.eu/jobs/701011"
"Research Scientist";"First Stage Researcher (R1)";"Institute of Image-Guided Surgery of Strasbourg";"Computer science, Other";"35";"France";"Strasbourg";"mailto:alexandros.karargyri@ihu-strasbourg.eu";"https://euraxess.ec.europa.eu/jobs/703294"
"Particle Scientist";"Recognised Researcher (R2) , Established Researcher (R3)";"Granutools";"Chemistry ,Physics";"";"Belgium";"Awans";"https://www.abg.asso.fr/fr/candidatOffres/show/id_offre/100508";"https://euraxess.ec.europa.eu/jobs/696956"
"Senior Data Scientist";"First Stage Researcher (R1)";"ETH Zurich";"Computer science, Mathematics, Statistics";"41";"Switzerland";"Zurich";"https://academicpositions.com/ad/eth-zurich/2021/senior-data-scientist/164851";"https://euraxess.ec.europa.eu/jobs/698421"
"Senior Data Scientist (# of pos: 2)";"First Stage Researcher (R1) , Established Researcher (R3)";"ARQUIMEA GROUP";"Mathematics, Statistics ,Physics";"40";"Spain";"San Cristóbal de La Laguna";"https://arquimea.bamboohr.com/jobs/view.php?id=128";"https://euraxess.ec.europa.eu/jobs/696645"
"Data Scientist / Statistician";"First Stage Researcher (R1) , Recognised Researcher (R2) , Established Researcher (R3) , Leading Researcher (R4)";"Flanders Institute for Biotechnology (VIB)";"Biological sciences ,Computer science ,Engineering ,Mathematics ,Technology";"";"Belgium";"Nevele";"https://jobs.vib.be/j/41161/data-scientist-statistician?source=naturecareers";"https://euraxess.ec.europa.eu/jobs/693828"
"announces a competition for the position of research scientist – adjunct (# of pos: 2)";"Recognised Researcher (R2)";"National Information Processing Institute National Research Institute";"Computer science, Other";"40";"Poland";"Warsaw";"mailto:kariera@opi.org.pl";"https://euraxess.ec.europa.eu/jobs/699664"
"announces a competition for the position of research scientist – adjunct";"Recognised Researcher (R2)";"National Information Processing Institute National Research Institute";"Computer science, Other";"32";"Poland";"Warsaw";"mailto:kariera@opi.org.pl";"https://euraxess.ec.europa.eu/jobs/699653"
"Postdoc in biochemical data wrangling and curation";"Recognised Researcher (R2)";"Aix-Marseille Université";"Chemistry, Biochemistry";"35";"France";"Marseille";"mailto:pedro.ballester@inserm.fr";"https://euraxess.ec.europa.eu/jobs/697896"
"Research Associate, Clinical Data Scientist";"Recognised Researcher (R2) , Established Researcher (R3)";"NATIONAL UNIVERSITY OF SINGAPORE";"Engineering ,Ethics in health sciences ,Mathematics ,Neurosciences ,Sociology";"";"";"";"https://www.timeshighereducation.com/unijobs/listing/267614/research-associate-clinical-data-scientist/?TrackID=427338&utm_source=euraxess&utm_medium=aggregator&utm_campaign=2021-11-02";"https://euraxess.ec.europa.eu/jobs/693111"
"Software Developer for cloud-based data analysis (f/m/d)";"First Stage Researcher (R1)";"European XFEL";"Computer science, Programming ,Engineering, Physics";"";"Germany";"Schenefeld (Hamburg area)";"https://122.rexx-server.com/rexx-hr/xfel/jobportal/Application/E-299-software-developer-for-cloud-based-data-anal/Init/1-804.html";"https://euraxess.ec.europa.eu/jobs/703969"
